TrackID,Time,Velocity,LongitudeGPS,LatitudeGPS
1453,73000000,29.4,135.464374,34.7155706
1453,73000100,29.6,135.4643863,34.7155672
1453,73000200,29.8,135.4643992,34.7155638
1453,73000300,30.4,135.4644123,34.7155605
1453,73000400,31.1,135.4644251,34.7155574
1453,73000500,32.6,135.4644369,34.7155544
1453,73000600,31.6,135.4644475,34.7155516
1453,73000700,32.4,135.4644566,34.7155489
1453,73000800,32.5,135.4644647,34.7155465
1453,73000900,32.2,135.4644724,34.7155442
1453,73001000,32.0,135.4644807,34.7155419
1453,73001100,31.8,135.4644902,34.7155396
1453,73001200,31.5,135.4645013,34.7155371
1453,73001300,31.5,135.4645139,34.7155345
1453,73001400,31.5,135.4645273,34.7155317
1453,73001500,31.9,135.4645409,34.7155289
1453,73001600,32.4,135.4645541,34.7155261
1453,73001700,32.2,135.4645666,34.7155233
1453,73001800,32.7,135.4645783,34.7155206
1453,73001900,32.2,135.4645894,34.7155178
1453,73002000,32.4,135.4646003,34.7155151
1453,73002100,32.4,135.4646112,34.7155124
1453,73002200,32.7,135.4646225,34.7155096
1453,73002300,33.2,135.4646342,34.7155067
1453,73002400,34.3,135.4646463,34.7155038
1453,73002500,35.3,135.4646588,34.7155008
1453,73002600,36.1,135.4646713,34.7154976
1453,73002700,36.1,135.4646838,34.7154944
1453,73002800,36.6,135.464696,34.7154911
1453,73002900,36.6,135.4647078,34.7154877
1453,73003000,37.5,135.4647193,34.7154843
1453,73003100,37.6,135.4647303,34.7154812
1453,73003200,37.6,135.4647412,34.7154782
1453,73003300,37.6,135.4647518,34.7154756
1453,73003400,39.2,135.4647623,34.7154733
1453,73003500,38.3,135.4647723,34.7154712
1453,73003600,38.1,135.4647816,34.7154693
1453,73003700,37.9,135.4647902,34.7154675
1453,73003800,37.9,135.4647982,34.7154656
1453,73003900,36.1,135.464806,34.7154636
1453,73004000,35.5,135.4648141,34.7154615
1453,73004100,34.9,135.4648229,34.715459
1453,73004200,35.0,135.4648324,34.7154564
1453,73004300,36.2,135.4648426,34.7154536
1453,73004400,37.1,135.4648533,34.7154507
1453,73004500,37.5,135.4648644,34.7154478
1453,73004600,37.7,135.4648755,34.7154449
1453,73004700,37.4,135.4648867,34.7154421
1453,73004800,36.8,135.4648978,34.7154393
1453,73004900,36.2,135.464909,34.7154364
1453,73005000,36.3,135.4649202,34.7154336
1453,73005100,35.8,135.4649314,34.7154308
1453,73005200,36.5,135.4649427,34.715428
1453,73005300,37.3,135.464954,34.7154251
1453,73005400,37.7,135.4649652,34.7154223
1453,73005500,37.5,135.4649763,34.7154195
1453,73005600,37.5,135.4649873,34.7154167
1453,73005700,37.0,135.4649981,34.7154139
1453,73005800,36.6,135.4650089,34.7154111
1453,73005900,36.3,135.4650198,34.7154082
1453,73006000,36.3,135.4650308,34.7154054
1453,73006100,36.0,135.4650421,34.7154025
1453,73006200,36.0,135.4650535,34.7153996
1453,73006300,36.4,135.4650651,34.7153966
1453,73006400,36.3,135.4650767,34.7153937
1453,73006500,36.2,135.4650884,34.7153907
1453,73006600,36.2,135.4650999,34.7153877
1453,73006700,35.8,135.4651113,34.7153848
1453,73006800,35.3,135.4651227,34.7153818
1453,73006900,34.7,135.465134,34.7153789
1453,73007000,34.7,135.4651454,34.7153759
1453,73007100,34.2,135.4651569,34.7153729
1453,73007200,35.5,135.4651686,34.7153699
1453,73007300,37.6,135.4651805,34.7153669
1453,73007400,39.5,135.4651924,34.7153638
1453,73007500,40.1,135.4652043,34.7153607
1453,73007600,40.4,135.4652161,34.7153577
1453,73007700,40.3,135.4652277,34.7153546
1453,73007800,40.7,135.465239,34.7153517
1453,73007900,40.9,135.46525,34.7153487
1453,73008000,40.4,135.4652608,34.7153458
1453,73008100,39.7,135.4652716,34.7153429
1453,73008200,39.7,135.4652823,34.71534
1453,73008300,39.5,135.4652932,34.7153371
1453,73008400,38.6,135.465304,34.7153342
1453,73008500,38.0,135.4653149,34.7153313
1453,73008600,37.4,135.4653257,34.7153285
1453,73008700,37.4,135.4653363,34.7153257
1453,73008800,36.8,135.4653469,34.715323
1453,73008900,35.4,135.4653574,34.7153202
1453,73009000,35.4,135.4653682,34.7153173
1453,73009100,34.1,135.4653795,34.7153142
1453,73009200,33.8,135.4653916,34.7153107
1453,73009300,36.0,135.465405,34.7153066
1453,73009400,38.0,135.4654201,34.7153019
1453,73009500,38.0,135.4654375,34.7152965
1453,73009600,38.0,135.4654574,34.7152905
1453,73009700,38.3,135.4654798,34.715284
1453,73009800,38.5,135.4655044,34.7152773
1453,73009900,38.8,135.4655303,34.7152707
1453,73010000,39.0,135.4655563,34.7152642
1453,73010100,39.3,135.4655811,34.7152582
1453,73010200,38.3,135.4656036,34.7152527
1453,73010300,38.9,135.4656234,34.7152478
1453,73010400,40.6,135.4656403,34.7152433
1453,73010500,43.0,135.4656551,34.7152391
1453,73010600,44.1,135.4656683,34.7152351
1453,73010700,44.1,135.4656806,34.7152312
1453,73010800,44.1,135.4656927,34.7152273
1453,73010900,44.8,135.4657047,34.7152233
1453,73011000,45.7,135.4657169,34.7152192
1453,73011100,46.5,135.4657292,34.7152151
1453,73011200,46.8,135.4657417,34.7152109
1453,73011300,46.7,135.4657544,34.7152066
1453,73011400,46.6,135.4657672,34.7152022
1453,73011500,46.2,135.4657801,34.7151978
1453,73011600,45.6,135.4657933,34.7151933
1453,73011700,44.8,135.4658067,34.7151886
1453,73011800,44.9,135.4658202,34.7151838
1453,73011900,45.5,135.4658337,34.715179
1453,73012000,45.0,135.465847,34.7151742
1453,73012100,46.2,135.46586,34.7151694
1453,73012200,46.3,135.4658725,34.7151647
1453,73012300,45.5,135.4658843,34.7151603
1453,73012400,44.4,135.4658953,34.7151561
1453,73012500,44.5,135.4659056,34.7151523
1453,73012600,44.4,135.4659154,34.7151488
1453,73012700,44.3,135.4659248,34.7151454
1453,73012800,44.3,135.4659343,34.7151421
1453,73012900,44.2,135.4659441,34.7151388
1453,73013000,44.1,135.4659543,34.7151352
1453,73013100,43.1,135.4659651,34.7151314
1453,73013200,42.4,135.4659763,34.7151273
1453,73013300,42.8,135.465988,34.7151229
1453,73013400,41.9,135.4659999,34.7151184
